Location;Island;Year;N_corr;.lower;.upper;.width;N_obs
nesøy;20;1994;18.705269826350985;18.263410687176602;19.140486111797543;0.9;14
nesøy;20;1995;16.03414775308333;14.217919840681013;19.860562079535683;0.9;13
nesøy;20;1996;19.67262110066715;17.580974982700386;23.70587216796799;0.9;16
nesøy;20;1997;21.963484066202284;19.80720013556257;26.44177727876371;0.9;18
nesøy;20;1998;25.330683345061082;22.849384087570467;29.853608723491043;0.9;21
nesøy;20;1999;24.486974363578145;22.503692278760052;28.35686269312203;0.9;21
nesøy;20;2000;30.599309003220007;28.05854183605144;35.4627857790339;0.9;26
nesøy;20;2001;27.9151731421409;25.62856108106404;32.31196184518179;0.9;24
nesøy;20;2002;24.013564705805983;21.68722134996266;28.918100135162717;0.9;20
nesøy;20;2003;14.355483608711808;12.274726417576513;19.861922644525674;0.9;11
nesøy;20;2004;20.233260303229727;17.109521845418442;26.950773813085384;0.9;15
nesøy;20;2005;26.966132078259406;24.054489486089054;33.287145888385844;0.9;22
nesøy;20;2006;17.937350103048807;14.934849234278396;25.37596781743099;0.9;13
nesøy;20;2007;13.662116799174802;11.549814846618457;17.93233858180608;0.9;10
nesøy;20;2008;16.318227865347218;13.344316969621064;22.222935533398793;0.9;11
nesøy;20;2009;15.10811989153909;13.257765459301762;19.380378174527795;0.9;12
nesøy;20;2010;17.338739494725225;14.950766142559537;22.18256905272409;0.9;13
nesøy;20;2011;22.853947252024753;19.38552560915638;29.713615088164648;0.9;16
nesøy;20;2012;21.194775885830566;18.109424103996254;27.305571672066712;0.9;16
nesøy;20;2013;10.390097323150304;7.904855523281886;15.474741513687336;0.9;6
nesøy;20;2014;7.743385994818096;6.204737476186351;11.315991028112325;0.9;5
nesøy;20;2015;4.66720370812821;3.6944764895981264;6.742302046929867;0.9;3
nesøy;20;2016;11.155126758074616;9.842781549110212;13.894486905246215;0.9;9
nesøy;20;2017;10.408628362644862;8.977178019870362;13.474381620643635;0.9;8
nesøy;20;2018;23.87757114557062;21.031157548442213;29.725594950723572;0.9;19
nesøy;20;2019;7.173270624870964;5.293186909358997;11.801346515890726;0.9;4
nesøy;20;2020;12.712591142730592;11.139059486319237;16.123657301752722;0.9;10
nesøy;20;2021;9.942745182967066;8.758798374000063;12.532882841811823;0.9;8
myken;22;1994;6.680453509411066;6.522646673991643;6.835887897070551;0.9;5
myken;22;1995;15.100584714299108;13.231127449579745;19.443249343617833;0.9;12
myken;22;1996;11.520003629767945;10.043121526565423;14.899403777172074;0.9;9
myken;22;1997;18.3308872975824;16.386129613792956;22.57704189487948;0.9;15
myken;22;1998;19.31971246267632;16.80444515102028;25.29335603013513;0.9;15
myken;22;1999;37.05800820199265;32.98396833561153;44.71043891675664;0.9;30
myken;22;2000;33.9576556483661;31.16947000740523;39.548808533061504;0.9;29
myken;22;2001;37.04811901160369;32.75689840903144;44.548260454440154;0.9;29
myken;22;2002;25.978790046391204;21.10297814440426;35.31966513414848;0.9;17
myken;22;2003;31.796201296828023;25.75836797802537;44.56153431693856;0.9;21
myken;22;2004;22.898706322980914;19.55685776847778;29.5968076087607;0.9;17
myken;22;2005;26.296429751462306;21.5404300291712;35.38903609631292;0.9;17
myken;22;2006;22.81038801404782;18.2724877959498;31.802754508279847;0.9;14
myken;22;2007;23.66587123137513;19.07050181191428;33.034097024901975;0.9;15
myken;22;2008;13.747401589421695;11.464128191607639;18.566878137335017;0.9;10
myken;22;2009;11.450091221178615;9.950967734396542;14.619315223221825;0.9;9
myken;22;2010;14.734713348872393;12.498515514396681;19.709726042549015;0.9;11
myken;22;2011;27.642103849085878;24.336615817206763;33.83561610723117;0.9;22
myken;22;2012;26.40319427623001;22.280920878914632;34.66918145804911;0.9;19
myken;22;2013;8.151357006337298;6.782097234396682;11.568219918469602;0.9;6
myken;22;2014;1.475774431268459;1.1830646063575987;2.2427482997762933;0.9;1
myken;22;2015;5.267863354301159;4.4578679710558395;7.427276023482705;0.9;4
myken;22;2016;13.60780493302377;12.001483944664235;16.9635024779489;0.9;11
myken;22;2017;6.304379086797161;5.499580652022561;8.138148573990927;0.9;5
